f8:f1:b6:69:4d:ca/2016-11-26 17:37:32.156081/-74
00:0d:f0:a2:9f:11/2016-11-26 17:39:43.177665/-256
24:c6:96:88:f0:b7/2016-11-26 17:40:55.796702/-72
24:da:9b:20:68:cc/2016-11-26 17:38:34.474927/-62
84:10:0d:ba:4f:83/2016-11-26 17:38:44.614111/-76
b0:9f:ba:31:69:11/2016-11-26 17:38:47.927581/-74
f8:f1:b6:69:4d:ca/2016-11-26 17:40:32.844462/-72
5c:51:88:24:b1:c5/2016-11-26 17:40:13.634962/-78
00:0d:f0:a2:9f:11/2016-11-26 17:47:42.786366/-256
24:c6:96:88:f0:b7/2016-11-26 17:47:26.076434/-64
24:da:9b:20:68:cc/2016-11-26 17:47:34.046027/-58
84:10:0d:ba:4f:83/2016-11-26 17:47:02.220864/-66
08:8c:2c:4a:99:ee/2016-11-26 17:47:56.318325/-78
b0:9f:ba:31:69:11/2016-11-26 17:47:51.692714/-80
6c:2f:2c:13:1e:82/2016-11-26 17:45:15.574204/-76
a4:70:d6:42:04:b1/2016-11-26 17:45:55.118245/-74
00:0d:f0:a2:9f:11/2016-11-26 17:53:42.742290/-256
24:c6:96:88:f0:b7/2016-11-26 17:52:26.332727/-64
24:da:9b:20:68:cc/2016-11-26 17:51:54.076584/-62
08:8c:2c:4a:99:ee/2016-11-26 17:52:02.881098/-80
b0:9f:ba:31:69:11/2016-11-26 17:51:32.837376/-78
f8:f1:b6:69:4d:ca/2016-11-26 17:55:37.429203/-72
a4:70:d6:42:04:b1/2016-11-26 17:53:50.370965/-84
00:0d:f0:a2:9f:11/2016-11-26 17:57:42.746319/-256
24:c6:96:88:f0:b7/2016-11-26 17:59:26.134757/-56
24:da:9b:20:68:cc/2016-11-26 17:57:34.074101/-70
84:10:0d:ba:4f:83/2016-11-26 17:58:26.962040/-56
34:23:ba:fc:f3:e2/2016-11-26 17:57:21.079299/-72
08:8c:2c:4a:99:ee/2016-11-26 17:57:30.487776/-80
a4:70:d6:42:04:b1/2016-11-26 17:58:50.341426/-72
3c:bb:fd:84:61:20/2016-11-26 17:57:40.087776/-80
a4:77:33:67:8f:90/2016-11-26 17:57:47.829640/-80
00:0d:f0:a2:9f:11/2016-11-26 18:01:42.746340/-256
24:c6:96:88:f0:b7/2016-11-26 18:02:29.613645/-62
84:10:0d:ba:4f:83/2016-11-26 18:02:50.566050/-66
5c:51:88:1d:76:f3/2016-11-26 18:00:03.905770/-74
f8:f1:b6:69:4d:ca/2016-11-26 18:01:39.520681/-76
a4:70:d6:42:04:b1/2016-11-26 18:02:30.509686/-74
00:0d:f0:a2:9f:11/2016-11-26 18:07:38.833701/-256
24:c6:96:88:f0:b7/2016-11-26 18:04:29.780255/-54
84:10:0d:ba:4f:83/2016-11-26 18:04:50.612944/-64
08:8c:2c:4a:99:ee/2016-11-26 18:04:39.503710/-80
6c:2f:2c:13:1e:82/2016-11-26 18:05:18.770592/-78
f8:f1:b6:69:4d:ca/2016-11-26 18:04:40.557087/-76
a4:70:d6:42:04:b1/2016-11-26 18:04:50.246594/-72
00:0d:f0:a2:9f:11/2016-11-26 18:11:38.837689/-256
24:c6:96:88:f0:b7/2016-11-26 18:08:32.053339/-50
08:8c:2c:4a:99:ee/2016-11-26 18:10:45.917055/-80
b0:9f:ba:31:69:11/2016-11-26 18:09:25.301925/-76
f8:f1:b6:69:4d:ca/2016-11-26 18:10:42.940412/-72
a4:70:d6:42:04:b1/2016-11-26 18:10:50.703940/-78
00:0d:f0:a2:9f:11/2016-11-26 18:17:42.617598/-256
5c:51:88:1d:76:f3/2016-11-26 18:17:44.318673/-78
24:c6:96:88:f0:b7/2016-11-26 18:18:57.714155/-52
08:8c:2c:4a:99:ee/2016-11-26 18:17:55.210843/-80
f8:f1:b6:69:4d:ca/2016-11-26 18:16:44.389195/-74
a4:70:d6:42:04:b1/2016-11-26 18:15:55.817285/-72
00:0d:f0:a2:9f:11/2016-11-26 18:21:41.982861/-256
24:c6:96:88:f0:b7/2016-11-26 18:22:00.516632/-56
48:59:29:fd:18:32/2016-11-26 18:21:42.144460/-76
84:10:0d:ba:4f:83/2016-11-26 18:19:05.624148/-68
5c:51:88:1d:76:f3/2016-11-26 18:21:06.047787/-72
f8:f1:b6:69:4d:ca/2016-11-26 18:22:46.267437/-72
a4:70:d6:42:04:b1/2016-11-26 18:22:30.244208/-72
94:01:c2:0f:91:eb/2016-11-26 18:21:48.213731/-56
00:0d:f0:a2:9f:11/2016-11-26 18:25:42.398617/-256
08:8c:2c:4a:99:ee/2016-11-26 18:22:50.532097/-80
24:c6:96:88:f0:b7/2016-11-26 18:26:10.402775/-60
b0:9f:ba:31:69:11/2016-11-26 18:23:32.653831/-74
f8:f1:b6:69:4d:ca/2016-11-26 18:25:47.655281/-72
a4:70:d6:42:04:b1/2016-11-26 18:24:22.560908/-76
94:01:c2:0f:91:eb/2016-11-26 18:23:51.066637/-70
00:0d:f0:a2:9f:11/2016-11-26 18:31:42.450721/-256
24:c6:96:88:f0:b7/2016-11-26 18:33:32.921532/-56
88:03:55:69:23:ce/2016-11-26 18:29:55.059947/-84
94:01:c2:0f:91:eb/2016-11-26 18:31:59.024673/-72
00:0d:f0:a2:9f:11/2016-11-26 18:39:43.367548/-256
24:c6:96:88:f0:b7/2016-11-26 18:37:34.378733/-76
88:03:55:69:23:ce/2016-11-26 18:37:39.647982/-86
84:10:0d:ba:4f:83/2016-11-26 18:37:41.092085/-84
6c:2f:2c:13:1e:82/2016-11-26 18:38:22.626895/-74
f8:f1:b6:69:4d:ca/2016-11-26 18:40:52.235558/-76
94:01:c2:0f:91:eb/2016-11-26 18:41:09.442787/-52
00:0d:f0:a2:9f:11/2016-11-26 18:43:43.367582/-256
